Designator,Mid X,Mid Y,Layer,Rotation
U1,15.89,10.75,T,270.00
U1,35.67,10.75,T,270.00
U1,55.45,10.75,T,270.00
U1,75.23,10.75,T,270.00
U1,95.01,10.75,T,270.00
U1,114.79,10.75,T,270.00
U1,134.57,10.75,T,270.00
U1,154.35,10.75,T,270.00
U1,174.13,10.75,T,270.00
U1,193.91,10.75,T,270.00
U2,35.67,44.36,T,0.00
U2,55.45,44.36,T,0.00
U2,75.23,44.36,T,0.00
U2,95.01,44.36,T,0.00
U2,114.79,44.36,T,0.00
U2,134.57,44.36,T,0.00
U2,154.35,44.36,T,0.00
U2,174.13,44.36,T,0.00
U2,193.91,44.36,T,0.00
U2,15.89,16.36,T,0.00
U2,35.67,16.36,T,0.00
U2,55.45,16.36,T,0.00
U2,174.13,100.36,T,0.00
U2,15.89,72.36,T,0.00
U2,35.67,72.36,T,0.00
U2,55.45,72.36,T,0.00
U2,75.23,72.36,T,0.00
U2,95.01,72.36,T,0.00
U2,114.79,72.36,T,0.00
U2,134.57,72.36,T,0.00
U2,154.35,72.36,T,0.00
U2,174.13,72.36,T,0.00
U2,193.91,72.36,T,0.00
U2,15.89,44.36,T,0.00
U2,15.89,128.36,T,0.00
U2,35.67,128.36,T,0.00
U2,55.45,128.36,T,0.00
U2,75.23,128.36,T,0.00
U2,95.01,128.36,T,0.00
U2,114.79,128.36,T,0.00
U2,134.57,128.36,T,0.00
U2,75.23,16.36,T,0.00
U2,95.01,16.36,T,0.00
U2,114.79,16.36,T,0.00
U2,134.57,16.36,T,0.00
U2,154.35,16.36,T,0.00
U2,174.13,16.36,T,0.00
U2,193.91,16.36,T,0.00
U2,154.35,128.36,T,0.00
U2,174.13,128.36,T,0.00
U2,193.91,128.36,T,0.00
U2,193.91,100.36,T,0.00
U2,15.89,100.36,T,0.00
U2,35.67,100.36,T,0.00
U2,55.45,100.36,T,0.00
U2,75.23,100.36,T,0.00
U2,95.01,100.36,T,0.00
U2,114.79,100.36,T,0.00
U2,134.57,100.36,T,0.00
U2,154.35,100.36,T,0.00
